Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9685,0.9701,0.9900,"{'C': 1, 'max_iter': 10000}"
Support Vector Machine,1,0.9755,0.9761,0.5000,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,2,0.9790,0.9784,0.9932,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,2,0.9825,0.9829,0.5000,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,3,0.9755,0.9747,0.9945,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,3,0.9790,0.9795,0.5000,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,4,0.9825,0.9805,0.9936,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,4,0.9930,0.9935,0.5000,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,5,0.9860,0.9863,0.9952,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,5,0.9650,0.9655,0.5000,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,6,0.9650,0.9675,0.9947,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,6,0.9650,0.9635,0.5000,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,7,0.9860,0.9863,0.9935,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,7,0.9720,0.9714,0.5000,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,8,0.9860,0.9860,0.9972,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,8,0.9545,0.9568,0.5000,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,9,0.9720,0.9701,0.9950,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,9,0.9615,0.9614,0.5000,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
Logistic Regression,10,0.9685,0.9682,0.9969,"{'C': 10, 'max_iter': 10000}"
Support Vector Machine,10,0.9685,0.9665,0.5000,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}"
